196.200.224.0/19, ER, AS37096
80.24.0.0/13, ES, AS3352
197.156.64.0/18, ET, AS24757
80.220.0.0/14, FI, AS719
103.27.12.0/22, FJ, AS38722
204.14.64.0/20, FK, AS36040
202.65.64.0/20, FM, AS24545
80.201.0.0/16, FO, AS5653
194.2.0.0/16, FR, AS3215
102.69.0.0/17, GA, AS37096
51.0.0.0/8, GB, AS2856
204.14.80.0/20, GD, AS36040
91.151.128.0/18, GE, AS35805
190.103.192.0/19, GF, AS27775
80.249.0.0/16, GG, AS12353
102.176.0.0/16, GH, AS30985
195.244.192.0/19, GI, AS20638
80.202.0.0/16, GL, AS5653
197.234.128.0/18, GM, AS37096
197.149.192.0/18, GN, AS37096
190.103.224.0/19, GP, AS27775
102.69.128.0/18, GQ, AS37096
79.129.0.0/16, GR, AS6799
204.120.206.0/24, GS, AS3215
181.174.0.0/15, GT, AS27732
202.65.80.0/20, GU, AS24545
197.149.128.0/18, GW, AS37096
190.102.0.0/19, GY, AS27775
203.80.0.0/14, HK, AS9304
204.120.207.0/24, HM, AS3215
181.115.0.0/16, HN, AS27732
78.0.0.0/13, HR, AS5391
190.115.0.0/16, HT, AS27732
80.98.0.0/15, HU, AS5483
103.10.0.0/16, ID, AS4761
89.100.0.0/15, IE, AS15502
79.176.0.0/13, IL, AS12849
80.250.0.0/16, IM, AS12353
182.64.0.0/11, IN, AS9829
204.120.208.0/24, IO, AS3215
37.236.0.0/14, IQ, AS51684
2.176.0.0/12, IR, AS197207
82.221.0.0/16, IS, AS6677
79.0.0.0/11, IT, AS3269
80.251.0.0/16, JE, AS12353
190.104.0.0/15, JM, AS27758
86.108.0.0/15, JO, AS9038
133.0.0.0/10, JP, AS2516
102.135.0.0/16, KE, AS37054
77.235.0.0/16, KG, AS29189
103.9.0.0/16, KH, AS38235
202.65.96.0/20, KI, AS24545
197.255.128.0/17, KM, AS37096
204.14.96.0/20, KN, AS36040
175.45.176.0/22, KP, AS131279
175.112.0.0/12, KR, AS4766
62.215.0.0/16, KW, AS9155
199.167.172.0/22, KY, AS40263
82.200.128.0/17, KZ, AS9198
103.10.32.0/22, LA, AS38235
77.42.128.0/17, LB, AS42334
204.14.112.0/20, LC, AS36040
194.158.96.0/19, LI, AS6752
112.134.0.0/15, LK, AS9329
102.69.64.0/18, LR, AS37096
102.135.128.0/17, LS, AS37054
78.56.0.0/14, LT, AS8764
80.90.32.0/19, LU, AS6661
80.89.0.0/16, LV, AS12578
105.104.0.0/13, LY, AS37284
105.128.0.0/10, MA, AS36903
195.78.0.0/19, MC, AS5410
77.89.128.0/17, MD, AS8926
77.222.0.0/16, ME, AS8585
199.167.244.0/22, MF, AS36040
102.16.0.0/16, MG, AS37054
202.65.112.0/20, MH, AS24545
77.28.0.0/15, MK, AS6823
102.165.0.0/16, ML, AS37054
103.112.0.0/16, MM, AS38235
103.9.64.0/20, MN, AS38235
202.175.0.0/16, MO, AS4609
202.65.128.0/20, MP, AS24545
190.103.96.0/19, MQ, AS27775
102.165.64.0/18, MR, AS37054
204.14.128.0/20, MS, AS36040
77.72.192.0/18, MT, AS3335
102.115.0.0/16, MU, AS37054
103.10.128.0/20, MV, AS38235
102.116.0.0/16, MW, AS37054
187.128.0.0/11, MX, AS8151
115.164.0.0/14, MY, AS4788
102.117.0.0/16, MZ, AS37054
102.118.0.0/16, NA, AS37054
202.65.144.0/20, NC, AS24545
102.165.128.0/17, NE, AS37054
203.24.102.0/24, NF, AS13335
102.88.0.0/13, NG, AS37148
181.115.128.0/17, NI, AS27732
80.100.0.0/14, NL, AS1136
80.212.0.0/14, NO, AS2119
103.10.192.0/19, NP, AS38235
202.65.160.0/20, NR, AS24545
202.65.176.0/20, NU, AS24545
118.90.0.0/15, NZ, AS4771
82.178.0.0/15, OM, AS8529
181.197.0.0/16, PA, AS11830
181.64.0.0/14, PE, AS6147
202.65.192.0/20, PF, AS24545
202.65.208.0/20, PG, AS24545
112.198.0.0/15, PH, AS9299
182.176.0.0/12, PK, AS45595
77.252.0.0/14, PL, AS5617
204.14.144.0/20, PM, AS36040
204.120.209.0/24, PN, AS3215
196.12.160.0/19, PR, AS10466
82.205.0.0/16, PS, AS12975
81.84.0.0/14, PT, AS2860
202.65.224.0/20, PW, AS24545
181.120.0.0/14, PY, AS27651
89.211.0.0/16, QA, AS8781
196.12.192.0/19, RE, AS37054
79.112.0.0/13, RO, AS8708
77.46.0.0/15, RS, AS8400
178.62.0.0/16, RU, AS14061
102.119.0.0/16, RW, AS37054
82.167.0.0/16, SA, AS25019
202.65.240.0/20, SB, AS24545
102.120.0.0/16, SC, AS37054
102.121.0.0/16, SD, AS37054
81.224.0.0/12, SE, AS3301
204.14.160.0/20, SH, AS36040
84.255.192.0/18, SI, AS5463
193.156.0.0/16, SJ, AS224
78.98.0.0/15, SK, AS29405
102.122.0.0/16, SL, AS37054
194.158.128.0/19, SM, AS6752
102.165.192.0/18, SN, AS37054
102.123.0.0/16, SO, AS37054
190.103.32.0/19, SR, AS27775
102.124.0.0/16, SS, AS37054
102.125.0.0/16, ST, AS37054
181.115.192.0/18, SV, AS27732
190.103.64.0/19, SX, AS27775
82.137.192.0/18, SY, AS29256
102.126.0.0/16, SZ, AS37054
204.14.176.0/20, TC, AS36040
102.127.0.0/16, TD, AS37054
204.120.210.0/24, TF, AS3215
102.166.0.0/17, TG, AS37054
171.96.0.0/11, TH, AS23969
77.247.0.0/16, TJ, AS42610
202.65.10.0/24, TK, AS24545
103.10.224.0/20, TL, AS38235
217.174.224.0/20, TM, AS20661
197.0.0.0/13, TN, AS2609
202.65.12.0/24, TO, AS24545
88.224.0.0/11, TR, AS9121
190.107.32.0/19, TT, AS27758
202.65.14.0/24, TV, AS24545
114.24.0.0/13, TW, AS3462
102.167.0.0/16, TZ, AS37054
77.120.0.0/13, UA, AS13188
102.168.0.0/16, UG, AS37054
204.120.211.0/24, UM, AS3215
104.16.0.0/12, US, AS13335
179.24.0.0/14, UY, AS6057
84.54.64.0/18, UZ, AS28910
212.77.0.0/19, VA, AS49349
204.14.192.0/20, VC, AS36040
190.200.0.0/13, VE, AS8048
199.167.176.0/22, VG, AS40263
199.167.180.0/22, VI, AS40263
14.160.0.0/11, VN, AS45899
202.65.16.0/24, VU, AS24545
202.65.18.0/24, WF, AS24545
202.65.20.0/24, WS, AS24545
82.114.160.0/19, YE, AS30873
196.12.224.0/19, YT, AS37054
105.0.0.0/12, ZA, AS37497
102.169.0.0/16, ZM, AS37054
102.170.0.0/16, ZW, AS37054
